image_file,source_frame,class_name,confidence,x_min,y_min,x_max,y_max,img_w,img_h,saved_time
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.694,1139,334,1220,587,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.680,252,622,389,718,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.660,8,505,121,660,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.645,754,451,839,553,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.622,626,487,772,610,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.550,297,305,387,434,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.496,161,360,281,470,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,person,0.466,960,379,1065,488,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.706,640,364,679,421,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.604,704,354,746,400,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,chair,0.586,372,619,506,717,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.563,74,536,236,683,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.487,0,471,60,576,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.467,418,396,492,469,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.414,812,336,846,376,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.403,866,372,906,429,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,chair,0.370,378,652,522,720,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.344,928,360,961,410,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.313,542,400,582,452,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.294,607,430,680,498,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.286,802,382,855,441,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.277,301,490,433,610,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.257,764,346,791,390,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0000.jpg,0,monitor,0.221,868,460,955,581,1280,720,2026-08-23 02:17:02
vid_IMG_1557_20260823_021701_0001.jpg,120,person,0.736,1109,317,1201,571,1280,720,2026-08-23 02:17:06
vid_IMG_1557_20260823_021701_0001.jpg,120,person,0.715,135,369,258,506,1280,720,2026-08-23 02:17:06
vid_IMG_1557_20260823_021701_0001.jpg,120,person,0.698,926,366,1018,543,1280,720,2026-08-23 02:17:06
